ind,user_id,date,yes_no,start_etime,end_etime,start_stime,end_stime,source,target,trip_time_sec,path,day
442,B3B17C7E-C067-4B6E-9220-48AC4765E421,02/20/2021,no,1613791987781,1613792615330,2021-02-20 11:33:07,2021-02-20 11:43:35,L6_Deck_2,L6_Deck_1,627,"['L6_Deck_2', 'L6_R1_LL_corridor', 'L6_Deck_1']",weekend
443,B3B17C7E-C067-4B6E-9220-48AC4765E421,02/20/2021,no,1613796250701,1613796551365,2021-02-20 12:44:10,2021-02-20 12:49:11,L2_FC_zone_8,L2_FC_zone_5,300,"['L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_FC_zone_5']",weekend
458,b443471405f0ca2e,02/28/2021,no,1614475834180,1614486128542,2021-02-28 09:30:34,2021-02-28 12:22:08,B1_Posb_bank,L4_R1_garden,10294,"['B1_Posb_bank', 'B1_CLL', 'B2_CLL', 'B2_Carpark_zone_3', 'B2_R1_LL', 'B1_R1_LL', 'L1_R1_LL', 'L4_R1_LL', 'L4_R1_LL_corridor', 'L4_R1_deck', 'L4_R1_garden']",weekend
459,b443471405f0ca2e,02/28/2021,no,1614486574864,1614489679532,2021-02-28 12:29:34,2021-02-28 13:21:19,L4_R1_garden,L4_ST_walkway,3104,"['L4_R1_garden', 'L4_R1_deck', 'L4_ST_walkway']",weekend
460,b443471405f0ca2e,02/28/2021,no,1614509639455,1614514130845,2021-02-28 18:53:59,2021-02-28 20:08:50,L4_ST_walkway,L2_FC_zone_4,4491,"['L4_ST_walkway', 'L4_R1_deck', 'L4_R1_LL_corridor', 'L4_R1_LL', 'L1_R1_LL', 'L1_R1_LL_walkway', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L2_FC_zone_1', 'L2_FC_zone_4']",weekend
461,b443471405f0ca2e,02/28/2021,no,1614514176196,1614515607206,2021-02-28 20:09:36,2021-02-28 20:33:27,L2_FC_zone_3,L4_ST_walkway,1431,"['L2_FC_zone_3', 'L2_FC_zone_2', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_R1_LL_walkway', 'L1_R1_LL', 'L4_R1_LL', 'L4_R1_LL_corridor', 'L4_R1_deck', 'L4_ST_walkway']",weekend
462,b443471405f0ca2e,02/28/2021,no,1614515607206,1614517891686,2021-02-28 20:33:27,2021-02-28 21:11:31,L4_ST_walkway,L1_PG,2284,"['L4_ST_walkway', 'L4_R2_deck', 'L4_R2_LL_corridor', 'L4_R2_LL', 'L1_R2_LL', 'L1_Entrance_6', 'L1_Entrance_5', 'L1_PG']",weekend
478,c829fa4183f082b4,02/20/2021,no,1613786213904,1613786514064,2021-02-20 09:56:53,2021-02-20 10:01:54,L9_CG_garden_zone_2,L9_CG_entrance,300,"['L9_CG_garden_zone_2', 'L9_CG_garden_zone_1', 'L9_CG_entrance']",weekend
479,c829fa4183f082b4,02/20/2021,no,1613798206672,1613798971723,2021-02-20 13:16:46,2021-02-20 13:29:31,L2_FC_zone_5,L2_FC_zone_8,765,"['L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_1', 'L2_FC_zone_8']",weekend
480,c829fa4183f082b4,02/20/2021,no,1613814374717,1613816812452,2021-02-20 17:46:14,2021-02-20 18:26:52,L1_Entrance_7,L1_R2_LL,2437,"['L1_Entrance_7', 'L1_CP_zone_1', 'L1_Entrance_6', 'L1_R2_LL']",weekend
481,c829fa4183f082b4,02/07/2021,no,1612655519512,1612655838466,2021-02-07 07:51:59,2021-02-07 07:57:18,B1_Supermarket_entrance_1,B1_Supermarket_entrance_2,318,"['B1_Supermarket_entrance_1', 'B1_Posb_bank', 'B1_CLL', 'B1_Supermarket_entrance_2']",weekend
482,c829fa4183f082b4,02/07/2021,no,1612671932985,1612672416391,2021-02-07 12:25:32,2021-02-07 12:33:36,L6_CLL,L2_FC_zone_4,483,"['L6_CLL', 'L4_CLL', 'L3_CLL', 'L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4']",weekend
483,c829fa4183f082b4,02/07/2021,no,1612672753602,1612673203703,2021-02-07 12:39:13,2021-02-07 12:46:43,L2_FC_zone_1,L1_CP_zone_3,450,"['L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3']",weekend
