ind,user_id,date,yes_no,start_etime,end_etime,start_stime,end_stime,source,target,trip_time_sec,path
54,502cf6cb6e47dcdf,02/19/2021,yes,1613710272406,1613710834775,2021-02-18 23:51:12,2021-02-19 00:00:34,L1_Entrance_3,L1_Thoroughfare,562,"['L1_Entrance_3', 'L1_CP_zone_4', 'L1_CP_zone_3', 'L1_CP_zone_2', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Entrance_1', 'L1_SLL_corridor', 'L1_RR_walkway', 'L1_SLL_corridor', 'L1_Entrance_1', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_1', 'L1_Entrance_7', 'L1_Thoroughfare']"
55,502cf6cb6e47dcdf,02/19/2021,yes,1613722657220,1613723669254,2021-02-19 03:17:37,2021-02-19 03:34:29,L1_Thoroughfare,L1_Entrance_1,1012,"['L1_Thoroughfare', 'L1_Entrance_7', 'L1_CP_zone_1', 'L1_Entrance_7', 'L1_Entrance_mrt', 'L1_Shop_walkway_3', 'L1_Shop_walkway_2', 'L1_CLL', 'L1_Shop_walkway_1', 'L1_CP_zone_2', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Entrance_1']"
56,502cf6cb6e47dcdf,02/16/2021,yes,1613466043724,1613467994335,2021-02-16 04:00:43,2021-02-16 04:33:14,L1_Shop_walkway_3,L1_Entrance_1,1950,"['L1_Shop_walkway_3', 'B1_Supermarket_entrance_1', 'L1_Shop_walkway_3', 'L2_FC_zone_11', 'L2_FC_zone_7', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Entrance_1']"
57,502cf6cb6e47dcdf,02/08/2021,yes,1612762524179,1612764959423,2021-02-08 00:35:24,2021-02-08 01:15:59,L2_FC_zone_5,L1_CP_zone_3,2435,"['L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_8_walkway', 'L2_CLL', 'L1_CLL', 'L1_Shop_walkway_2', 'L1_Shop_walkway_1', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3']"
58,502cf6cb6e47dcdf,02/15/2021,yes,1613345940202,1613346011357,2021-02-14 18:39:00,2021-02-14 18:40:11,L1_Entrance_3,L1_Entrance_7,71,"['L1_Entrance_3', 'L1_CP_zone_4', 'L1_CP_zone_3', 'L1_CP_zone_1', 'L1_Entrance_7']"
59,502cf6cb6e47dcdf,02/15/2021,yes,1613379747173,1613380572656,2021-02-15 04:02:27,2021-02-15 04:16:12,B1_Supermarket_entrance_1,L2_FC_zone_3,825,"['B1_Supermarket_entrance_1', 'B1_Posb_bank', 'B1_Supermarket_entrance_1', 'L1_Shop_walkway_3', 'L1_Entrance_mrt', 'L1_Entrance_7', 'L1_CP_zone_1', 'L1_CP_zone_2', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3', 'L1_CP_zone_2', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Entrance_1', 'L1_SLL_corridor', 'L1_SLL', 'L2_SLL', 'L2_SLL_corridor', 'L2_FC_zone_4', 'L2_FC_zone_3']"
60,55834407ecfba870,02/09/2021,yes,1612852457804,1612853565015,2021-02-09 01:34:17,2021-02-09 01:52:45,L2_FC_zone_2,L1_PG,1107,"['L2_FC_zone_2', 'L2_FC_zone_3', 'L2_FC_zone_2', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3', 'L1_Entrance_4', 'L1_Entrance_5', 'L1_PG']"
61,55834407ecfba870,02/18/2021,yes,1613624037529,1613627148534,2021-02-17 23:53:57,2021-02-18 00:45:48,L2_FC_zone_2,L1_Thoroughfare,3111,"['L2_FC_zone_2', 'L2_FC_zone_3', 'L2_FC_zone_2', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_1', 'L1_Entrance_6', 'L1_Entrance_5', 'L1_PG', 'L1_Thoroughfare']"
62,55834407ecfba870,02/15/2021,yes,1613366288214,1613369240488,2021-02-15 00:18:08,2021-02-15 01:07:20,L1_CP_zone_3,L2_FC_zone_3,2952,"['L1_CP_zone_3', 'L1_CP_zone_2', 'L1_Yassin_walkway', 'L2_FC_zone_1', 'L2_FC_zone_2', 'L2_FC_zone_3']"
63,55834407ecfba870,02/15/2021,yes,1613369867609,1613370393999,2021-02-15 01:17:47,2021-02-15 01:26:33,L2_FC_zone_3,L2_FC_zone_1,526,"['L2_FC_zone_3', 'L2_FC_zone_2', 'L2_FC_zone_1']"
64,55834407ecfba870,02/17/2021,yes,1613559327604,1613559633704,2021-02-17 05:55:27,2021-02-17 06:00:33,L1_CP_zone_2,L1_PG,306,"['L1_CP_zone_2', 'L1_Shop_walkway_1', 'L1_Shop_walkway_2', 'L1_Shop_walkway_1', 'L1_CP_zone_2', 'L1_CP_zone_3', 'L1_Entrance_4', 'L1_Entrance_5', 'L1_PG']"
65,57f2f8cb6aa5638c,02/19/2021,yes,1613707780870,1613707869136,2021-02-18 23:09:40,2021-02-18 23:11:09,L1_CP_zone_2,L1_Thoroughfare,88,"['L1_CP_zone_2', 'L1_CP_zone_1', 'L1_Entrance_6', 'L1_Thoroughfare']"
66,5bf8a1e773cf77a5,02/17/2021,yes,1613567083266,1613567451062,2021-02-17 08:04:43,2021-02-17 08:10:51,L10_R2_LL,L1_CP_zone_1,367,"['L10_R2_LL', 'L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L5_R2_LL', 'L4_R2_LL', 'L1_R2_LL', 'L1_Entrance_6', 'L1_CP_zone_1', 'L1_CP_zone_2', 'L1_CP_zone_1']"
67,5bf8a1e773cf77a5,02/24/2021,yes,1614171887684,1614171925044,2021-02-24 08:04:47,2021-02-24 08:05:25,L10_R2_LL,L1_R2_LL,37,"['L10_R2_LL', 'L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L5_R2_LL', 'L4_R2_LL', 'L1_R2_LL']"
68,5d776eb3dd0ba53f,02/01/2021,yes,1612163531912,1612163771347,2021-02-01 02:12:11,2021-02-01 02:16:11,L6_ST_5,L6_ELL,239,"['L6_ST_5', 'L6_AAH_walkway', 'L6_ELL_corridor', 'L6_ELL']"
69,5d776eb3dd0ba53f,02/01/2021,yes,1612168051746,1612168509121,2021-02-01 03:27:31,2021-02-01 03:35:09,L6_CLL,L2_FC_zone_4,457,"['L6_CLL', 'L4_CLL', 'L3_CLL', 'L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4']"
