ind,user_id,date,yes_no,start_etime,end_etime,start_stime,end_stime,source,target,trip_time_sec,path,day
565,f42cb0283c9533a5,02/22/2021,no,1613956817342,1613966720459,2021-02-22 09:20:17,2021-02-22 12:05:20,L9_R2_LL,L1_Entrance_7,9903,"['L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L5_R2_LL', 'L4_R2_LL', 'L1_R2_LL', 'L1_Entrance_6', 'L1_CP_zone_1', 'L1_Entrance_7']",weekday
566,f42cb0283c9533a5,02/22/2021,no,1613982163314,1613985142283,2021-02-22 16:22:43,2021-02-22 17:12:22,L6_CLL,L9_R2_LL,2978,"['L6_CLL', 'L6_AAH_walkway', 'L6_ST_5', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL']",weekday
567,f42cb0283c9533a5,02/22/2021,no,1613988388295,1613991476752,2021-02-22 18:06:28,2021-02-22 18:57:56,L9_R2_LL,L6_CLL,3088,"['L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_ST_5', 'L6_AAH_walkway', 'L6_CLL']",weekday
568,f42cb0283c9533a5,02/23/2021,no,1614044591563,1614051537389,2021-02-23 09:43:11,2021-02-23 11:38:57,L8_R2_LL,L6_CLL,6945,"['L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_ST_5', 'L6_AAH_walkway', 'L6_CLL']",weekday
569,f42cb0283c9533a5,02/23/2021,no,1614052288715,1614062013581,2021-02-23 11:51:28,2021-02-23 14:33:33,L1_Entrance_1,L1_Entrance_7,9724,"['L1_Entrance_1', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_1', 'L1_Entrance_7']",weekday
570,f42cb0283c9533a5,02/23/2021,no,1614062039664,1614066576649,2021-02-23 14:33:59,2021-02-23 15:49:36,L9_R2_LL,L6_CLL,4536,"['L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_ST_5', 'L6_AAH_walkway', 'L6_CLL']",weekday
571,f42cb0283c9533a5,02/23/2021,no,1614069801360,1614071221203,2021-02-23 16:43:21,2021-02-23 17:07:01,L6_CLL,L9_R2_LL,1419,"['L6_CLL', 'L6_AAH_walkway', 'L6_ST_5', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL']",weekday
575,f42cb0283c9533a5,02/19/2021,no,1613712974092,1613723036254,2021-02-19 13:36:14,2021-02-19 16:23:56,L9_R2_LL,L6_CLL,10062,"['L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_ST_5', 'L6_AAH_walkway', 'L6_CLL']",weekday
576,f42cb0283c9533a5,02/19/2021,no,1613723036254,1613725428725,2021-02-19 16:23:56,2021-02-19 17:03:48,L6_CLL,L9_R2_LL,2392,"['L6_CLL', 'L6_AAH_walkway', 'L6_ST_5', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL']",weekday
577,f42cb0283c9533a5,02/19/2021,no,1613731230105,1613743287665,2021-02-19 18:40:30,2021-02-19 22:01:27,L6_CLL,L6_PG,12057,"['L6_CLL', 'L6_ST_3', 'L6_ST_2', 'L6_PG']",weekday
578,f42cb0283c9533a5,02/19/2021,no,1613743287665,1613746908685,2021-02-19 22:01:27,2021-02-19 23:01:48,L6_PG,L6_CLL,3621,"['L6_PG', 'L6_ST_2', 'L6_ST_3', 'L6_CLL']",weekday
579,f47e0f87edd3a6a2,02/08/2021,no,1612758103059,1612780725768,2021-02-08 12:21:43,2021-02-08 18:38:45,L1_Entrance_8,L1_Entrance_7,22622,"['L1_Entrance_8', 'L1_Entrance_mrt', 'L1_Entrance_7']",weekday
580,f56d5c1fba655bcf,02/25/2021,no,1614227607607,1614227924420,2021-02-25 12:33:27,2021-02-25 12:38:44,L2_FC_zone_7,L2_FC_zone_1,316,"['L2_FC_zone_7', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8', 'L2_FC_zone_1']",weekday
